regime,description,aoa,drift,method,n_bands,mean,std,min,max
attached,attached oblique shock (validated),0.0,SBsquared_exact+ffd,BaryCDI,18,0.005372268605459713,0.006094988876460992,0.0007997031176693574,0.020872298293646355
attached,attached oblique shock (validated),0.0,SBsquared_exact+ffd,FFD,18,0.0031663570634420956,0.0037221617575244996,0.0005542275315441707,0.012405185718116498
attached,attached oblique shock (validated),0.0,SBsquared_exact+ffd,Linear,18,0.006765418880867572,0.007993567990107971,0.0005631676309710462,0.02702835586566296
attached,attached oblique shock (validated),0.0,ffd,BaryCDI,18,0.005359534438898909,0.006272161216724991,0.0006605884257431681,0.02124837386967177
attached,attached oblique shock (validated),0.0,ffd,FFD,18,0.0031663570634420956,0.0037221617575244996,0.0005542275315441707,0.012405185718116498
attached,attached oblique shock (validated),0.0,ffd,Linear,18,0.006765418880867572,0.007993567990107971,0.0005631676309710462,0.02702835586566296
attached,attached oblique shock (validated),0.0,null,BaryCDI,18,0.005159760712693062,0.005951184310321311,0.0006356612900372629,0.01984188454102885
attached,attached oblique shock (validated),0.0,null,FFD,18,0.0031663570634420956,0.0037221617575244996,0.0005542275315441707,0.012405185718116498
attached,attached oblique shock (validated),0.0,null,Linear,18,0.006765418880867572,0.007993567990107971,0.0005631676309710462,0.02702835586566296
detached,detached bow shock,0.0,SBsquared_exact+ffd,BaryCDI,2,0.0268801692579062,0.0010299482221943664,0.025850221035711832,0.027910117480100565
detached,detached bow shock,0.0,SBsquared_exact+ffd,FFD,2,0.01971156147370589,0.0021126380869418634,0.017598923386764026,0.021824199560647753
detached,detached bow shock,0.0,SBsquared_exact+ffd,Linear,2,0.03473834780180307,0.0022667118244126573,0.03247163597739042,0.03700505962621573
detached,detached bow shock,0.0,ffd,BaryCDI,2,0.027546988025309783,0.001590062651273422,0.025956925374036363,0.029137050676583207
detached,detached bow shock,0.0,ffd,FFD,2,0.01971156147370589,0.0021126380869418634,0.017598923386764026,0.021824199560647753
detached,detached bow shock,0.0,ffd,Linear,2,0.03473834780180307,0.0022667118244126573,0.03247163597739042,0.03700505962621573
detached,detached bow shock,0.0,null,BaryCDI,2,0.024810027480594896,0.0014764584086345862,0.023333569071960308,0.02628648588922948
detached,detached bow shock,0.0,null,FFD,2,0.01971156147370589,0.0021126380869418634,0.017598923386764026,0.021824199560647753
detached,detached bow shock,0.0,null,Linear,2,0.03473834780180307,0.0022667118244126573,0.03247163597739042,0.03700505962621573
subsonic,no shock,0.0,SBsquared_exact+ffd,BaryCDI,2,0.027653622410202285,0.0035556217647632685,0.024098000645439016,0.031209244174965553
subsonic,no shock,0.0,SBsquared_exact+ffd,FFD,2,0.021299410980372545,0.0004520076049062318,0.020847403375466315,0.02175141858527878
subsonic,no shock,0.0,SBsquared_exact+ffd,Linear,2,0.03302052683089171,0.0027251356869378834,0.03029539114395383,0.035745662517829596
subsonic,no shock,0.0,ffd,BaryCDI,2,0.02721830741871814,0.0035763404975832757,0.023641966921134863,0.030794647916301415
subsonic,no shock,0.0,ffd,FFD,2,0.021299410980372545,0.0004520076049062318,0.020847403375466315,0.02175141858527878
subsonic,no shock,0.0,ffd,Linear,2,0.03302052683089171,0.0027251356869378834,0.03029539114395383,0.035745662517829596
subsonic,no shock,0.0,null,BaryCDI,2,0.030973532185161273,0.007857908763002673,0.023115623422158598,0.038831440948163945
subsonic,no shock,0.0,null,FFD,2,0.021299410980372545,0.0004520076049062318,0.020847403375466315,0.02175141858527878
subsonic,no shock,0.0,null,Linear,2,0.03302052683089171,0.0027251356869378834,0.03029539114395383,0.035745662517829596
