axis,interval,lo,hi,mid,width,regime,aoa,h,drift,gamma,method,mean,std,max,ipfp_res,converged
aoa,A0.00-1.00,0.0,1.0,0.5,1.0,-,0.0,0.025,SBsquared_exact+ffd,0.0001,BaryCDI,0.0007779652185968772,0.0002166845104988116,0.0010141338724460238,4.8858695645748185e-05,False
aoa,A0.00-1.00,0.0,1.0,0.5,1.0,-,0.0,0.025,SBsquared_exact+ffd,0.0001,FFD,0.00010812815021656258,1.7317199187560198e-05,0.00012920333793252267,4.8858695645748185e-05,False
aoa,A0.00-1.00,0.0,1.0,0.5,1.0,-,0.0,0.025,SBsquared_exact+ffd,0.0001,Linear,0.00010812717774027006,1.731679354560715e-05,0.00012920333793252234,4.8858695645748185e-05,False
aoa,A0.00-1.00,0.0,1.0,0.5,1.0,-,0.0,0.025,ffd,0.0001,BaryCDI,0.0003796907458352927,0.00011344941869368484,0.000513867146871463,5.61522742614784e-06,False
aoa,A0.00-1.00,0.0,1.0,0.5,1.0,-,0.0,0.025,ffd,0.0001,FFD,0.00010812815021656258,1.7317199187560198e-05,0.00012920333793252267,5.61522742614784e-06,False
aoa,A0.00-1.00,0.0,1.0,0.5,1.0,-,0.0,0.025,ffd,0.0001,Linear,0.00010812717774027006,1.731679354560715e-05,0.00012920333793252234,5.61522742614784e-06,False
aoa,A0.00-1.00,0.0,1.0,0.5,1.0,-,0.0,0.025,null,0.0001,BaryCDI,0.0006824037374249255,0.0002146759071918895,0.0009116841529554103,0.0006002339508164312,False
aoa,A0.00-1.00,0.0,1.0,0.5,1.0,-,0.0,0.025,null,0.0001,FFD,0.00010812815021656258,1.7317199187560198e-05,0.00012920333793252267,0.0006002339508164312,False
aoa,A0.00-1.00,0.0,1.0,0.5,1.0,-,0.0,0.025,null,0.0001,Linear,0.00010812717774027006,1.731679354560715e-05,0.00012920333793252234,0.0006002339508164312,False
aoa,A0.00-1.00,0.0,1.0,0.5,1.0,-,0.0,0.025,oblique,0.0001,BaryCDI,0.00037968329314077144,0.00011344732295990125,0.0005138575256165021,9.827310972099212e-06,False
aoa,A0.00-1.00,0.0,1.0,0.5,1.0,-,0.0,0.025,oblique,0.0001,FFD,0.00010812815021656258,1.7317199187560198e-05,0.00012920333793252267,9.827310972099212e-06,False
aoa,A0.00-1.00,0.0,1.0,0.5,1.0,-,0.0,0.025,oblique,0.0001,Linear,0.00010812717774027006,1.731679354560715e-05,0.00012920333793252234,9.827310972099212e-06,False
aoa,A1.00-2.00,1.0,2.0,1.5,1.0,-,1.0,0.025,SBsquared_exact+ffd,0.0001,BaryCDI,0.0007956895962367473,0.0002467413921902548,0.0010815578100271009,3.5913284772703946e-05,False
aoa,A1.00-2.00,1.0,2.0,1.5,1.0,-,1.0,0.025,SBsquared_exact+ffd,0.0001,FFD,0.00013983929717339757,3.8887111309010385e-05,0.00018552619662511816,3.5913284772703946e-05,False
aoa,A1.00-2.00,1.0,2.0,1.5,1.0,-,1.0,0.025,SBsquared_exact+ffd,0.0001,Linear,0.00013983875592136225,3.888732718661605e-05,0.0001855261966251177,3.5913284772703946e-05,False
aoa,A1.00-2.00,1.0,2.0,1.5,1.0,-,1.0,0.025,ffd,0.0001,BaryCDI,0.00042470932116190426,0.00013841584553563413,0.0006067238115095816,1.3501078324651417e-05,False
aoa,A1.00-2.00,1.0,2.0,1.5,1.0,-,1.0,0.025,ffd,0.0001,FFD,0.00013983929717339757,3.8887111309010385e-05,0.00018552619662511816,1.3501078324651417e-05,False
aoa,A1.00-2.00,1.0,2.0,1.5,1.0,-,1.0,0.025,ffd,0.0001,Linear,0.00013983875592136225,3.888732718661605e-05,0.0001855261966251177,1.3501078324651417e-05,False
aoa,A1.00-2.00,1.0,2.0,1.5,1.0,-,1.0,0.025,null,0.0001,BaryCDI,0.0007078300834693751,0.00022154723211641154,0.0009544354748028132,3.6079315734127704e-05,False
aoa,A1.00-2.00,1.0,2.0,1.5,1.0,-,1.0,0.025,null,0.0001,FFD,0.00013983929717339757,3.8887111309010385e-05,0.00018552619662511816,3.6079315734127704e-05,False
aoa,A1.00-2.00,1.0,2.0,1.5,1.0,-,1.0,0.025,null,0.0001,Linear,0.00013983875592136225,3.888732718661605e-05,0.0001855261966251177,3.6079315734127704e-05,False
aoa,A1.00-2.00,1.0,2.0,1.5,1.0,-,1.0,0.025,oblique,0.0001,BaryCDI,0.0004247196144551103,0.00013841858666775747,0.0006067364040585728,1.1474920221132834e-05,False
aoa,A1.00-2.00,1.0,2.0,1.5,1.0,-,1.0,0.025,oblique,0.0001,FFD,0.00013983929717339757,3.8887111309010385e-05,0.00018552619662511816,1.1474920221132834e-05,False
aoa,A1.00-2.00,1.0,2.0,1.5,1.0,-,1.0,0.025,oblique,0.0001,Linear,0.00013983875592136225,3.888732718661605e-05,0.0001855261966251177,1.1474920221132834e-05,False
aoa,A2.00-3.00,2.0,3.0,2.5,1.0,-,2.0,0.025,SBsquared_exact+ffd,0.0001,BaryCDI,0.0009566713798240694,0.00029853680612820733,0.0012902719799158943,4.47156896079548e-05,False
aoa,A2.00-3.00,2.0,3.0,2.5,1.0,-,2.0,0.025,SBsquared_exact+ffd,0.0001,FFD,0.00014056765304703962,2.2148792401949224e-05,0.00016493920465228038,4.47156896079548e-05,False
aoa,A2.00-3.00,2.0,3.0,2.5,1.0,-,2.0,0.025,SBsquared_exact+ffd,0.0001,Linear,0.00014056699299917752,2.214863115266061e-05,0.0001649382594996058,4.47156896079548e-05,False
aoa,A2.00-3.00,2.0,3.0,2.5,1.0,-,2.0,0.025,ffd,0.0001,BaryCDI,0.0005158188602818313,0.00017098033862141148,0.0007403146919905252,1.9883543210141852e-05,False
aoa,A2.00-3.00,2.0,3.0,2.5,1.0,-,2.0,0.025,ffd,0.0001,FFD,0.00014056765304703962,2.2148792401949224e-05,0.00016493920465228038,1.9883543210141852e-05,False
aoa,A2.00-3.00,2.0,3.0,2.5,1.0,-,2.0,0.025,ffd,0.0001,Linear,0.00014056699299917752,2.214863115266061e-05,0.0001649382594996058,1.9883543210141852e-05,False
aoa,A2.00-3.00,2.0,3.0,2.5,1.0,-,2.0,0.025,null,0.0001,BaryCDI,0.0008753840971234263,0.00026789590679306184,0.0011821536940892865,4.375329395500671e-05,False
aoa,A2.00-3.00,2.0,3.0,2.5,1.0,-,2.0,0.025,null,0.0001,FFD,0.00014056765304703962,2.2148792401949224e-05,0.00016493920465228038,4.375329395500671e-05,False
aoa,A2.00-3.00,2.0,3.0,2.5,1.0,-,2.0,0.025,null,0.0001,Linear,0.00014056699299917752,2.214863115266061e-05,0.0001649382594996058,4.375329395500671e-05,False
aoa,A2.00-3.00,2.0,3.0,2.5,1.0,-,2.0,0.025,oblique,0.0001,BaryCDI,0.0005158233471117265,0.00017098143960868386,0.0007403204391011526,4.368477714677965e-06,False
aoa,A2.00-3.00,2.0,3.0,2.5,1.0,-,2.0,0.025,oblique,0.0001,FFD,0.00014056765304703962,2.2148792401949224e-05,0.00016493920465228038,4.368477714677965e-06,False
aoa,A2.00-3.00,2.0,3.0,2.5,1.0,-,2.0,0.025,oblique,0.0001,Linear,0.00014056699299917752,2.214863115266061e-05,0.0001649382594996058,4.368477714677965e-06,False
aoa,A3.00-4.00,3.0,4.0,3.5,1.0,-,3.0,0.025,SBsquared_exact+ffd,0.0001,BaryCDI,0.0013649467279938127,0.0004170268026582721,0.00183952078362001,6.998234679400639e-05,False
aoa,A3.00-4.00,3.0,4.0,3.5,1.0,-,3.0,0.025,SBsquared_exact+ffd,0.0001,FFD,0.00015663117444990711,2.5153538209992952e-05,0.00019403938478759224,6.998234679400639e-05,False
aoa,A3.00-4.00,3.0,4.0,3.5,1.0,-,3.0,0.025,SBsquared_exact+ffd,0.0001,Linear,0.00015663045342249608,2.515375648904399e-05,0.00019403924529117522,6.998234679400639e-05,False
aoa,A3.00-4.00,3.0,4.0,3.5,1.0,-,3.0,0.025,ffd,0.0001,BaryCDI,0.0006835216155485311,0.00020823499163195405,0.0009165516536788461,2.1918299310641487e-05,False
aoa,A3.00-4.00,3.0,4.0,3.5,1.0,-,3.0,0.025,ffd,0.0001,FFD,0.00015663117444990711,2.5153538209992952e-05,0.00019403938478759224,2.1918299310641487e-05,False
aoa,A3.00-4.00,3.0,4.0,3.5,1.0,-,3.0,0.025,ffd,0.0001,Linear,0.00015663045342249608,2.515375648904399e-05,0.00019403924529117522,2.1918299310641487e-05,False
aoa,A3.00-4.00,3.0,4.0,3.5,1.0,-,3.0,0.025,null,0.0001,BaryCDI,0.0012868847919816741,0.00040989695192759505,0.0017755035043045633,0.00030725209437321155,False
aoa,A3.00-4.00,3.0,4.0,3.5,1.0,-,3.0,0.025,null,0.0001,FFD,0.00015663117444990711,2.5153538209992952e-05,0.00019403938478759224,0.00030725209437321155,False
aoa,A3.00-4.00,3.0,4.0,3.5,1.0,-,3.0,0.025,null,0.0001,Linear,0.00015663045342249608,2.515375648904399e-05,0.00019403924529117522,0.00030725209437321155,False
aoa,A3.00-4.00,3.0,4.0,3.5,1.0,-,3.0,0.025,oblique,0.0001,BaryCDI,0.0006834288653471695,0.00020819830677664542,0.0009164042786064395,1.1186073649582795e-06,False
aoa,A3.00-4.00,3.0,4.0,3.5,1.0,-,3.0,0.025,oblique,0.0001,FFD,0.00015663117444990711,2.5153538209992952e-05,0.00019403938478759224,1.1186073649582795e-06,False
aoa,A3.00-4.00,3.0,4.0,3.5,1.0,-,3.0,0.025,oblique,0.0001,Linear,0.00015663045342249608,2.515375648904399e-05,0.00019403924529117522,1.1186073649582795e-06,False
