regime,description,aoa,drift,method,n_bands,mean,std,min,max
attached,attached oblique shock (validated),0.0,SBsquared_exact+ffd,BaryCDI,18,0.0021683185241920797,0.002536269158792876,0.0005332646309287824,0.009619440356773803
attached,attached oblique shock (validated),0.0,SBsquared_exact+ffd,FFD,18,0.0015102539568153425,0.0015169924243826306,0.00026859647742081844,0.006042189729048888
attached,attached oblique shock (validated),0.0,SBsquared_exact+ffd,Linear,18,0.0029636499001350508,0.004143730513866988,0.00026859418133688473,0.01611553580264058
attached,attached oblique shock (validated),0.0,ffd,BaryCDI,18,0.0022615089003323327,0.002591925710992703,0.0005051443877354661,0.00979680478856347
attached,attached oblique shock (validated),0.0,ffd,FFD,18,0.0015102539568153425,0.0015169924243826306,0.00026859647742081844,0.006042189729048888
attached,attached oblique shock (validated),0.0,ffd,Linear,18,0.0029636499001350508,0.004143730513866988,0.00026859418133688473,0.01611553580264058
attached,attached oblique shock (validated),0.0,null,BaryCDI,18,0.0027792126110897587,0.002516369787536623,0.0005366774383254029,0.010202629340588305
attached,attached oblique shock (validated),0.0,null,FFD,18,0.0015102539568153425,0.0015169924243826306,0.00026859647742081844,0.006042189729048888
attached,attached oblique shock (validated),0.0,null,Linear,18,0.0029636499001350508,0.004143730513866988,0.00026859418133688473,0.01611553580264058
attached,attached oblique shock (validated),0.0,oblique,BaryCDI,17,0.0017245549668327771,0.0019270926117496256,0.00048199104273458554,0.008186462843331951
attached,attached oblique shock (validated),0.0,oblique,FFD,17,0.0012436694996251338,0.0010758362766295265,0.00026859647742081844,0.0048123990884541236
attached,attached oblique shock (validated),0.0,oblique,Linear,17,0.0021900095529288435,0.002721614074722704,0.00026859418133688473,0.010777575735795948
detached,detached bow shock,0.0,SBsquared_exact+ffd,BaryCDI,2,0.014168208693594678,0.003881204854765884,0.010287003838828794,0.018049413548360562
detached,detached bow shock,0.0,SBsquared_exact+ffd,FFD,2,0.009840956766471641,0.0008162293827267131,0.009024727383744928,0.010657186149198354
detached,detached bow shock,0.0,SBsquared_exact+ffd,Linear,2,0.023417056296960278,0.0026682186878248526,0.020748837609135425,0.02608527498478513
detached,detached bow shock,0.0,ffd,BaryCDI,2,0.014695832137871751,0.0037837754098835113,0.01091205672798824,0.018479607547755263
detached,detached bow shock,0.0,ffd,FFD,2,0.009840956766471641,0.0008162293827267131,0.009024727383744928,0.010657186149198354
detached,detached bow shock,0.0,ffd,Linear,2,0.023417056296960278,0.0026682186878248526,0.020748837609135425,0.02608527498478513
detached,detached bow shock,0.0,null,BaryCDI,2,0.013467899424163696,0.002803269075364174,0.010664630348799522,0.01627116849952787
detached,detached bow shock,0.0,null,FFD,2,0.009840956766471641,0.0008162293827267131,0.009024727383744928,0.010657186149198354
detached,detached bow shock,0.0,null,Linear,2,0.023417056296960278,0.0026682186878248526,0.020748837609135425,0.02608527498478513
subsonic,no shock,0.0,SBsquared_exact+ffd,BaryCDI,2,0.0234088378545731,0.0001746944512390665,0.023234143403334035,0.023583532305812168
subsonic,no shock,0.0,SBsquared_exact+ffd,FFD,2,0.009956646709405832,0.0019164925546115838,0.00804015415479425,0.011873139264017417
subsonic,no shock,0.0,SBsquared_exact+ffd,Linear,2,0.029420569712882958,0.0005129653514729139,0.028907604361410044,0.029933535064355872
subsonic,no shock,0.0,ffd,BaryCDI,2,0.02387211817136818,1.6484454178027422e-05,0.023855633717190152,0.023888602625546207
subsonic,no shock,0.0,ffd,FFD,2,0.009956646709405832,0.0019164925546115838,0.00804015415479425,0.011873139264017417
subsonic,no shock,0.0,ffd,Linear,2,0.029420569712882958,0.0005129653514729139,0.028907604361410044,0.029933535064355872
subsonic,no shock,0.0,null,BaryCDI,2,0.023530547475097953,0.0002643053219985921,0.023266242153099363,0.023794852797096547
subsonic,no shock,0.0,null,FFD,2,0.009956646709405832,0.0019164925546115838,0.00804015415479425,0.011873139264017417
subsonic,no shock,0.0,null,Linear,2,0.029420569712882958,0.0005129653514729139,0.028907604361410044,0.029933535064355872
attached,attached oblique shock (validated),2.0,SBsquared_exact+ffd,BaryCDI,18,0.0023927156474743993,0.0026771102769452427,0.000669619143603604,0.010201668154481973
attached,attached oblique shock (validated),2.0,SBsquared_exact+ffd,FFD,18,0.0016207149806933135,0.0016259484286423227,0.0002839916480926512,0.006856411882313143
attached,attached oblique shock (validated),2.0,SBsquared_exact+ffd,Linear,18,0.003286818191896871,0.004301423266544414,0.0002839888183299177,0.016229196652892946
attached,attached oblique shock (validated),2.0,ffd,BaryCDI,18,0.0024818548627188793,0.002750126906645401,0.0005267967613843684,0.010349864001353007
attached,attached oblique shock (validated),2.0,ffd,FFD,18,0.0016207149806933135,0.0016259484286423227,0.0002839916480926512,0.006856411882313143
attached,attached oblique shock (validated),2.0,ffd,Linear,18,0.003286818191896871,0.004301423266544414,0.0002839888183299177,0.016229196652892946
attached,attached oblique shock (validated),2.0,null,BaryCDI,18,0.002605386571342104,0.0029191965472644297,0.000521472260260867,0.011351104792872636
attached,attached oblique shock (validated),2.0,null,FFD,18,0.0016207149806933135,0.0016259484286423227,0.0002839916480926512,0.006856411882313143
attached,attached oblique shock (validated),2.0,null,Linear,18,0.003286818191896871,0.004301423266544414,0.0002839888183299177,0.016229196652892946
attached,attached oblique shock (validated),2.0,oblique,BaryCDI,17,0.001923663900097047,0.00210890376321222,0.000495228208866891,0.008802931735811054
attached,attached oblique shock (validated),2.0,oblique,FFD,17,0.001312732810009794,0.0010449240311380524,0.0002839916480926512,0.004515085349867569
attached,attached oblique shock (validated),2.0,oblique,Linear,17,0.0025255018118382783,0.003026179431487868,0.0002839888183299177,0.011736886801990828
detached,detached bow shock,2.0,SBsquared_exact+ffd,BaryCDI,2,0.014682836044179774,0.003459318674586114,0.01122351736959366,0.018142154718765888
detached,detached bow shock,2.0,SBsquared_exact+ffd,FFD,2,0.010007234930972077,0.0010204377501211327,0.008986797180850945,0.01102767268109321
detached,detached bow shock,2.0,SBsquared_exact+ffd,Linear,2,0.02342748166016881,0.002691668365358271,0.02073581329481054,0.02611915002552708
detached,detached bow shock,2.0,ffd,BaryCDI,2,0.015195699934609886,0.003494087580938555,0.01170161235367133,0.01868978751554844
detached,detached bow shock,2.0,ffd,FFD,2,0.010007234930972077,0.0010204377501211327,0.008986797180850945,0.01102767268109321
detached,detached bow shock,2.0,ffd,Linear,2,0.02342748166016881,0.002691668365358271,0.02073581329481054,0.02611915002552708
detached,detached bow shock,2.0,null,BaryCDI,2,0.014445428238098103,0.0025604098227583237,0.011885018415339779,0.017005838060856426
detached,detached bow shock,2.0,null,FFD,2,0.010007234930972077,0.0010204377501211327,0.008986797180850945,0.01102767268109321
detached,detached bow shock,2.0,null,Linear,2,0.02342748166016881,0.002691668365358271,0.02073581329481054,0.02611915002552708
subsonic,no shock,2.0,SBsquared_exact+ffd,BaryCDI,2,0.02357967136852324,0.0013386618800063053,0.022241009488516934,0.024918333248529545
subsonic,no shock,2.0,SBsquared_exact+ffd,FFD,2,0.012604018970453386,0.0025494651657692324,0.010054553804684153,0.015153484136222618
subsonic,no shock,2.0,SBsquared_exact+ffd,Linear,2,0.02936279740776447,0.00038273945972295935,0.028980057948041513,0.029745536867487432
subsonic,no shock,2.0,ffd,BaryCDI,2,0.024885410745407982,0.000843917539587043,0.024041493205820937,0.025729328284995023
subsonic,no shock,2.0,ffd,FFD,2,0.012604018970453386,0.0025494651657692324,0.010054553804684153,0.015153484136222618
subsonic,no shock,2.0,ffd,Linear,2,0.02936279740776447,0.00038273945972295935,0.028980057948041513,0.029745536867487432
subsonic,no shock,2.0,null,BaryCDI,2,0.02311788697294337,0.0011814441993542087,0.02193644277358916,0.024299331172297576
subsonic,no shock,2.0,null,FFD,2,0.012604018970453386,0.0025494651657692324,0.010054553804684153,0.015153484136222618
subsonic,no shock,2.0,null,Linear,2,0.02936279740776447,0.00038273945972295935,0.028980057948041513,0.029745536867487432
