axis,interval,lo,hi,mid,width,regime,aoa,h,drift,gamma,method,mean,std,max,ipfp_res,converged
mach,M0.80-0.90,0.8,0.9,0.8500000000000001,0.1,subsonic,0.0,0.025,SBsquared_exact+ffd,0.0001,BaryCDI,0.019553850488380767,0.0050694777884806655,0.024933883373851225,8.86731186255929e-08,True
mach,M0.80-0.90,0.8,0.9,0.8500000000000001,0.1,subsonic,0.0,0.025,SBsquared_exact+ffd,0.0001,FFD,0.02069282244865053,0.006209354115259936,0.027432001607874155,8.86731186255929e-08,True
mach,M0.80-0.90,0.8,0.9,0.8500000000000001,0.1,subsonic,0.0,0.025,SBsquared_exact+ffd,0.0001,Linear,0.023340495322464398,0.0059035404420097115,0.02960960572206165,8.86731186255929e-08,True
mach,M0.80-0.90,0.8,0.9,0.8500000000000001,0.1,subsonic,0.0,0.025,ffd,0.0001,BaryCDI,0.02015127506593457,0.005222492652326021,0.025685952991386457,9.787166277419601e-08,True
mach,M0.80-0.90,0.8,0.9,0.8500000000000001,0.1,subsonic,0.0,0.025,ffd,0.0001,FFD,0.02069282244865053,0.006209354115259936,0.027432001607874155,9.787166277419601e-08,True
mach,M0.80-0.90,0.8,0.9,0.8500000000000001,0.1,subsonic,0.0,0.025,ffd,0.0001,Linear,0.023340495322464398,0.0059035404420097115,0.02960960572206165,9.787166277419601e-08,True
mach,M0.80-0.90,0.8,0.9,0.8500000000000001,0.1,subsonic,0.0,0.025,null,0.0001,BaryCDI,0.020737558426131883,0.005537245606513222,0.026685584716259335,1.914225080668075e-07,False
mach,M0.80-0.90,0.8,0.9,0.8500000000000001,0.1,subsonic,0.0,0.025,null,0.0001,FFD,0.02069282244865053,0.006209354115259936,0.027432001607874155,1.914225080668075e-07,False
mach,M0.80-0.90,0.8,0.9,0.8500000000000001,0.1,subsonic,0.0,0.025,null,0.0001,Linear,0.023340495322464398,0.0059035404420097115,0.02960960572206165,1.914225080668075e-07,False
mach,M0.90-1.00,0.9,1.0,0.95,0.1,subsonic,0.0,0.025,SBsquared_exact+ffd,0.0001,BaryCDI,0.018370507745417486,0.004910580826862027,0.023531512731320803,9.364112507626032e-08,True
