regime,description,aoa,drift,method,n_bands,mean,std,min,max
attached,attached oblique shock (validated),0.0,SBsquared_exact+ffd,BaryCDI,18,0.005910369080965316,0.003130611149551555,0.0025889767794515187,0.013098107733561742
attached,attached oblique shock (validated),0.0,SBsquared_exact+ffd,FFD,18,0.004009472843930075,0.002485199924734779,0.001026040049640052,0.010132801448620783
attached,attached oblique shock (validated),0.0,SBsquared_exact+ffd,Linear,18,0.006569937138544649,0.006038702207901013,0.0010260359102995922,0.022609540629959877
attached,attached oblique shock (validated),0.0,ffd,BaryCDI,18,0.006219981742411846,0.0035346815997907666,0.0019448973156970559,0.014197419771208423
attached,attached oblique shock (validated),0.0,ffd,FFD,18,0.004009472840644253,0.002485199922911805,0.0010260400496400522,0.010132801448620783
attached,attached oblique shock (validated),0.0,ffd,Linear,18,0.006569937138544649,0.006038702207901013,0.0010260359102995922,0.022609540629959877
attached,attached oblique shock (validated),0.0,null,BaryCDI,18,0.006163716146008986,0.003946116103680079,0.001946326431375688,0.01694557491427655
attached,attached oblique shock (validated),0.0,null,FFD,18,0.004006283730107035,0.0024836854836706042,0.0010260400496400522,0.01010982549009215
attached,attached oblique shock (validated),0.0,null,Linear,18,0.006569937138544649,0.006038702207901013,0.0010260359102995922,0.022609540629959877
detached,detached bow shock,0.0,SBsquared_exact+ffd,BaryCDI,2,0.020078366110725835,0.0038307893741588196,0.016247576736567015,0.023909155484884655
detached,detached bow shock,0.0,SBsquared_exact+ffd,FFD,2,0.010790968913128555,0.00029560556679630347,0.010495363346332252,0.011086574479924859
detached,detached bow shock,0.0,SBsquared_exact+ffd,Linear,2,0.027989924627484758,0.001579838052306522,0.026410086575178234,0.029569762679791278
detached,detached bow shock,0.0,ffd,BaryCDI,2,0.020857327536124813,0.0032706566652224937,0.017586670870902318,0.024127984201347305
detached,detached bow shock,0.0,ffd,FFD,2,0.010790968913128555,0.00029560556679630347,0.010495363346332252,0.011086574479924859
detached,detached bow shock,0.0,ffd,Linear,2,0.027989924627484758,0.001579838052306522,0.026410086575178234,0.029569762679791278
detached,detached bow shock,0.0,null,BaryCDI,2,0.019924292502818304,0.004070808484443373,0.01585348401837493,0.023995100987261677
detached,detached bow shock,0.0,null,FFD,2,0.010790968913128555,0.00029560556679630347,0.010495363346332252,0.011086574479924859
detached,detached bow shock,0.0,null,Linear,2,0.027989924627484758,0.001579838052306522,0.026410086575178234,0.029569762679791278
subsonic,no shock,0.0,SBsquared_exact+ffd,BaryCDI,2,0.018962179116899125,0.0005916713714816408,0.018370507745417486,0.019553850488380767
subsonic,no shock,0.0,SBsquared_exact+ffd,FFD,2,0.014827196075869842,0.005865626372780687,0.008961569703089157,0.02069282244865053
subsonic,no shock,0.0,SBsquared_exact+ffd,Linear,2,0.026199078427417942,0.0028585831049535437,0.023340495322464398,0.029057661532371486
subsonic,no shock,0.0,ffd,BaryCDI,2,0.01973888881045137,0.000412386255483203,0.019326502554968164,0.02015127506593457
subsonic,no shock,0.0,ffd,FFD,2,0.014827196075869842,0.005865626372780687,0.008961569703089157,0.02069282244865053
subsonic,no shock,0.0,ffd,Linear,2,0.026199078427417942,0.0028585831049535437,0.023340495322464398,0.029057661532371486
subsonic,no shock,0.0,null,BaryCDI,2,0.01994787647547438,0.0007896819506575028,0.019158194524816877,0.020737558426131883
subsonic,no shock,0.0,null,FFD,2,0.014827196075869842,0.005865626372780687,0.008961569703089157,0.02069282244865053
subsonic,no shock,0.0,null,Linear,2,0.026199078427417942,0.0028585831049535437,0.023340495322464398,0.029057661532371486
attached,attached oblique shock (validated),2.0,SBsquared_exact+ffd,BaryCDI,17,0.006549020749889278,0.0032639927400699813,0.002705212844242154,0.013236339048044063
attached,attached oblique shock (validated),2.0,SBsquared_exact+ffd,FFD,17,0.004329921490493956,0.002341312802393825,0.0014079374380853112,0.010085507926687639
