hmode,h,axis,aoa,mach0,mach1,n_cells,drift,gamma,n_stages,BaryCDI_l2_mean,Linear_l2_mean,FFD_l2_mean,BaryCDI_linf_max,Linear_linf_max,FFD_linf_max,BaryCDI_w2_mean,Linear_w2_mean,FFD_w2_mean,BaryCDI_cd_err_mean,Linear_cd_err_mean,FFD_cd_err_mean,BaryCDI_cl_err_mean,Linear_cl_err_mean,FFD_cl_err_mean,BaryCDI_cl_abs_max,Linear_cl_abs_max,FFD_cl_abs_max,cd_ref_mean,cl_ref_mean,ffd_backfilled,BaryCDI_l2band_mean,Linear_l2band_mean,FFD_l2band_mean,BaryCDI_dbeta_mean,Linear_dbeta_mean,FFD_dbeta_mean,BaryCDI_sharpness,Linear_sharpness,FFD_sharpness,BaryCDI_rh_mean,Linear_rh_mean,FFD_rh_mean,BaryCDI_offline_s,BaryCDI_recon_s,BaryCDI_total_s,FFD_offline_s,FFD_recon_s,FFD_total_s,Linear_recon_s,interp_setup_s,interp_s,ipfp_res,ipfp_res_l2,ipfp_converged,ipfp_iters,ipfp_time_s,gate_T,gate_S,disp_T,den_T_max,path
eig,0.025,mach,0.0,0.8,0.9,23548,SBsquared_exact+ffd,0.0001,8,0.019553850488380767,0.023340495322464398,0.02069282244865053,0.4322006453086753,0.4341567218303679,0.4704005302783578,nan,nan,nan,0.0025176515070893667,0.002194889800959858,0.01973424185390393,0.0006318171475551155,0.0011406771668571467,0.001350625787537862,0.002962620208444898,0.003472331325497623,0.002286360029693496,0.04602296675976563,0.0012042733848182956,,0.0499389560942678,0.05436803577402452,0.012110735794983169,nan,nan,nan,0.6899729003990911,0.9997669412075901,0.6635320822720236,nan,nan,nan,1354.4790348233655,0.4764990359544754,1354.95553385932,0.011028365232050419,0.40979744866490364,0.42082581389695406,0.0011482909321784973,0.019131435081362724,0.9065798558294773,8.86731186255929e-08,5.4707098872382314e-08,True,2001,1354.4790348233655,0,0,0.024158408456409586,13941336141.688002,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M0.80-0.90/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,0.9,1.0,23548,SBsquared_exact+ffd,0.0001,8,0.018370507745417486,0.029057661532371486,0.008961569703089157,0.3574736778081946,0.5637418031692505,0.5628250155941315,nan,nan,nan,0.0033654067390063666,0.0015857134560530004,0.005942805751220651,0.002146821834262394,0.0009921530728408884,0.002316764082295173,0.004406053380330564,0.003231997929473239,0.003808174161249631,0.08889940095738784,0.0019486100606276799,,0.033984709800364776,0.06616363696814194,0.02493817669636522,nan,nan,nan,0.9790417936758185,1.0416204936663231,0.7581852751325331,nan,nan,nan,1366.779633487924,0.5040063429623842,1367.2836398308864,0.00962804292794317,0.43568092701025307,0.44530896993819624,0.0011168689234182239,0.018810629029758275,0.9596168809803203,9.364112507626032e-08,2.5294035867612962e-08,True,1945,1366.779633487924,0,0,0.06563133315851016,3.066807966964451e+17,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M0.90-1.00/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,1.0,1.1,23548,SBsquared_exact+ffd,0.0001,8,0.023909155484884655,0.029569762679791278,0.011086574479924859,0.5889707659299965,0.5999207735061646,0.4968964909632104,nan,nan,nan,0.008248235849469255,0.0009745000508351448,0.011104575930622465,0.0029536128519414896,0.0007717009289351178,0.0009127803807398247,0.005345553098238343,0.0008484240233315544,0.001081227576858565,0.10355119820397703,0.0006436220963663847,,0.0695379204840367,0.06157419357666578,0.03628074639075437,nan,nan,nan,0.7443615563545533,1.1066384017070223,0.9016028041612637,nan,nan,nan,1521.4019848639728,0.4760587479977403,1521.8780436119705,0.009487311996053904,0.4081749760080129,0.4176622880040668,0.00107989099342376,0.018583976983791217,0.9038996059971396,9.140608625557434e-08,3.071852710961522e-08,True,2146,1521.4019848639728,0,0,0.05322631775446415,1.0997046646941639e+19,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M1.00-1.10/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,1.1,1.2,23548,SBsquared_exact+ffd,0.0001,8,0.016247576736567015,0.026410086575178234,0.010495363346332252,0.4014862180059605,0.3402608156204223,0.5422775297720983,nan,nan,nan,0.005130682639878651,0.00026728502066358643,0.007726646682431189,0.002452545521897235,0.0005891711850093081,0.00105075867351521,0.003334820263398929,0.0007910481083013683,0.0016217930722943435,0.10104820265022862,0.00045845497549726593,,0.01773640912781732,0.0354588181357687,0.021100298309219147,nan,nan,nan,0.8946234899928429,1.0078254631224361,0.5779668500669793,nan,nan,nan,1570.3438295740634,0.4750417299801484,1570.8188713040436,0.009238732047379017,0.40796781389508396,0.417206545942463,0.0011000909144058824,0.018734736018814147,0.9028484990121797,9.681017942853032e-08,5.7058697817805765e-08,True,2397,1570.3438295740634,0,0,0.026580350120136105,66251121161168.266,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M1.10-1.20/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,1.2,1.3,23548,SBsquared_exact+ffd,0.0001,8,0.013098107733561742,0.022609540629959877,0.010132801448620783,0.6369612513360102,0.37157476544380197,0.5695160227155324,nan,nan,nan,0.013705714536390167,0.00019071674470029962,0.007243331273346527,0.005525911111398095,0.0007552199556830961,0.0017237489987364336,0.008053712282089854,0.00041841563996105073,0.00206300392274726,0.09896135502438419,0.0006784077242135195,,0.02992644672797599,0.08188345061228061,0.02777749305203963,nan,nan,nan,1.0315900416966473,1.0318707990445084,0.6535207456763091,nan,nan,nan,1809.6119070379937,0.4749982889916282,1810.0869053269853,0.009180850989650935,0.4050464090250898,0.41422726001474075,0.0010802350006997585,0.01885750101064332,0.899984679010231,7.782253774735182e-08,4.135532673118351e-08,True,2663,1809.6119070379937,0,0,0.07953340921318434,1667660899338244.5,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M1.20-1.30/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,1.3,1.4,23548,SBsquared_exact+ffd,0.0001,8,0.011631453934045922,0.018135030815605028,0.007322013576182788,0.5792225040079193,0.42035608887672415,0.548182528534186,nan,nan,nan,0.00932040663549701,0.00013126764113339303,0.007358189181217746,0.004710833302219278,0.00046834239629559054,0.0018246382303452487,0.006727922543205531,0.00041768455964338614,0.0029010597002998386,0.09743348305194131,0.0003854535664023596,,0.02636655975710912,0.07992817366683808,0.02506155670191128,nan,nan,nan,0.8471384281415475,1.0007382264342448,0.6842479324212751,nan,nan,nan,1975.097037116997,0.4766624942421913,1975.5736996112391,0.01078533474355936,0.40909395460039377,0.41987928934395313,0.001579267904162407,0.018998926505446434,0.9063372975215316,1.9072934200892178e-06,8.416679784989963e-07,False,3399,1975.097037116997,0,0,0.0697873380077519,35777025976.25608,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M1.30-1.40/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,1.4,1.5,23548,SBsquared_exact+ffd,0.0001,8,0.008696878209222037,0.013551469054970653,0.005388262043534889,0.4311859581676273,0.5202486753463746,0.4408702648962266,nan,nan,nan,0.005724319787901248,0.00011433794153664943,0.004891709136308851,0.0004475904394685931,0.00028875417339903787,0.0003746355628278199,0.000606402340731741,0.00010989380886875516,0.0005518772509699541,0.09638692132673897,0.00028859082353992926,,0.024428637703363756,0.06513321512364202,0.02374204122367489,nan,nan,nan,0.676147213825052,0.9130213919572806,0.7277954816172043,nan,nan,nan,1473.7506043690373,0.4745380590320565,1474.2251424280694,0.009361112024635077,0.4085958450450562,0.41795695706969127,0.001117555017117411,0.018567432009149343,0.9028213970013894,9.78688987629539e-08,5.989126832073638e-08,True,2421,1473.7506043690373,0,0,0.04262299242834879,73511979549.62808,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M1.40-1.50/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,1.5,1.6,23548,SBsquared_exact+ffd,0.0001,8,0.008279899893764712,0.010434668505040013,0.004539862950201494,0.3904192251300339,0.4329843521118164,0.42276427994719956,nan,nan,nan,0.003330955269492169,0.00023711260078121565,0.0029923030880684275,0.0014900054524154406,0.00032683943141845293,0.0015924887245473349,0.0022134913240267136,0.0007535096770369227,0.0017194992272335182,0.09540550706252164,0.00037712346087783984,,0.02160340315118145,0.048759325881880505,0.02258485503388226,nan,nan,nan,0.6913081139927585,0.7426430993755051,0.7632549235605837,nan,nan,nan,745.713322382886,0.4422109769657254,746.1555333598517,0.00816718116402626,0.38730387995019555,0.3954710611142218,0.000438041053712368,0.017512638121843338,0.8474708232097328,9.896677255483155e-08,2.8703561316263546e-08,True,2178,745.713322382886,0,0,0.02938796334464027,1.1031287216801749e+17,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M1.50-1.60/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,1.6,1.7,23548,SBsquared_exact+ffd,0.0001,8,0.008888792071212267,0.00903601512107888,0.006620129002678064,1.0399636902649378,1.0806956678628923,1.0873955183483368,nan,nan,nan,0.001994935424448868,0.0028420745649762246,0.0033577244334882317,0.0022849835980890787,0.0030582568376252197,0.0038806681177405693,0.0019022428627595116,0.0007963798214780307,0.0005751199392542251,0.09110144393464797,0.003606047375843329,,0.035477790123666406,0.03830452694661601,0.036488025598228606,nan,nan,nan,0.7423196730382347,0.7474808539121909,0.7460983382738776,nan,nan,nan,784.7637074477971,0.43968723621219397,785.2033946840093,0.01028727786615491,0.3869016417302191,0.39718891959637403,0.0010205800645053387,0.018531263805925846,0.846143826842308,8.97108876074526e-08,3.062786560059704e-08,True,1972,784.7637074477971,0,0,0.015551547320815946,64342994430.124245,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M1.60-1.70/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,1.7,1.8,23548,SBsquared_exact+ffd,0.0001,8,0.0067644847615731234,0.00790744464315251,0.004461160087830223,0.5722595883402797,0.4973820686340332,0.48970526022759087,nan,nan,nan,0.008451063050003788,0.0015946961794066658,0.0026572402386247484,0.0006176222236191882,0.0005846794062010577,0.0017926861625036585,0.0016354136691003112,0.0011723014067434414,0.002907907475676049,0.09321922992576821,0.0008472606640478158,,0.026829521490302086,0.03865786459642868,0.024780551143726286,nan,nan,nan,0.7435184040392057,0.9263115998807491,0.7361596831490019,nan,nan,nan,1420.2612553989748,0.4736320760566741,1420.7348874750314,0.010135611984878778,0.40898261207621545,0.4191182240610942,0.0010587199358269572,0.018707275041379035,0.9023827470373362,9.59643315923131e-08,2.6900278826979262e-08,True,2318,1420.2612553989748,0,0,0.039554837942715755,94340441476181.4,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M1.70-1.80/drift_SBsquared_exact+ffd/gmin0.0001
