tol,t,variant,steps_to_tol,baseline_steps,speedup,steps_saved,per_step_ms
1.9065402739215642e-05,0.1,BaryCDI,100,4150,41.5,4050,0.8894742209622555
1.9065402739215642e-05,0.1,FFD,75,4150,55.333333333333336,4075,0.8897029984264908
1.9065402739215642e-05,0.1,Linear,75,4150,55.333333333333336,4075,0.889752309633261
1.9065402739215642e-05,0.1,cold,4150,4150,1.0,0,1.1462991698910234
1.9065402739215642e-05,0.2,BaryCDI,175,4075,23.285714285714285,3900,0.8901369304839962
1.9065402739215642e-05,0.2,FFD,125,4075,32.6,3950,0.8890807438027428
1.9065402739215642e-05,0.2,Linear,450,4075,9.055555555555555,3625,0.8885934506447253
1.9065402739215642e-05,0.2,cold,4075,4075,1.0,0,1.140096755047376
1.9065402739215642e-05,0.3,BaryCDI,275,4000,14.545454545454545,3725,0.8863925204072705
1.9065402739215642e-05,0.3,FFD,175,4000,22.857142857142858,3825,0.888023760235477
1.9065402739215642e-05,0.3,Linear,700,4000,5.714285714285714,3300,0.888768142189188
1.9065402739215642e-05,0.3,cold,4000,4000,1.0,0,1.1361538612632216
1.9065402739215642e-05,0.4,BaryCDI,300,3925,13.083333333333334,3625,0.8876178376941818
1.9065402739215642e-05,0.4,FFD,200,3925,19.625,3725,0.8865364187411688
1.9065402739215642e-05,0.4,Linear,800,3925,4.90625,3125,0.8870332245923603
1.9065402739215642e-05,0.4,cold,3925,3925,1.0,0,1.1336746533965592
1.9065402739215642e-05,0.5,BaryCDI,300,3750,12.5,3450,0.8856468065564441
1.9065402739215642e-05,0.5,FFD,200,3750,18.75,3550,0.8862714198621103
1.9065402739215642e-05,0.5,Linear,750,3750,5.0,3000,0.8856319809827392
1.9065402739215642e-05,0.5,cold,3750,3750,1.0,0,1.1289352217149293
1.9065402739215642e-05,0.6,BaryCDI,275,3675,13.363636363636363,3400,0.8842028594586503
1.9065402739215642e-05,0.6,FFD,200,3675,18.375,3475,0.886777171577124
1.9065402739215642e-05,0.6,Linear,700,3675,5.25,2975,0.8869842382261462
1.9065402739215642e-05,0.6,cold,3675,3675,1.0,0,1.1248504271576751
1.9065402739215642e-05,0.7,BaryCDI,225,3625,16.11111111111111,3400,0.8843524318163086
1.9065402739215642e-05,0.7,FFD,175,3625,20.714285714285715,3450,0.8864962122067302
1.9065402739215642e-05,0.7,Linear,575,3625,6.304347826086956,3050,0.8862126238492071
1.9065402739215642e-05,0.7,cold,3625,3625,1.0,0,1.1208863688164017
1.9065402739215642e-05,0.8,BaryCDI,200,3650,18.25,3450,0.8840693290087838
1.9065402739215642e-05,0.8,FFD,175,3650,20.857142857142858,3475,0.8860442658993638
1.9065402739215642e-05,0.8,Linear,275,3650,13.272727272727273,3375,0.8842466781975828
1.9065402739215642e-05,0.8,cold,3650,3650,1.0,0,1.118582566592514
1.9065402739215642e-05,0.9,BaryCDI,75,3550,47.333333333333336,3475,0.8824415284238389
1.9065402739215642e-05,0.9,FFD,75,3550,47.333333333333336,3475,0.8856123416565437
1.9065402739215642e-05,0.9,Linear,25,3550,142.0,3525,0.8844619710260366
1.9065402739215642e-05,0.9,cold,3550,3550,1.0,0,1.115713907791332
1.8624299096363714e-05,0.1,BaryCDI,100,4175,41.75,4075,0.8894742209622555
1.8624299096363714e-05,0.1,FFD,100,4175,41.75,4075,0.8897029984264908
1.8624299096363714e-05,0.1,Linear,75,4175,55.666666666666664,4100,0.889752309633261
1.8624299096363714e-05,0.1,cold,4175,4175,1.0,0,1.1462991698910234
1.8624299096363714e-05,0.2,BaryCDI,200,4100,20.5,3900,0.8901369304839962
1.8624299096363714e-05,0.2,FFD,125,4100,32.8,3975,0.8890807438027428
1.8624299096363714e-05,0.2,Linear,475,4100,8.631578947368421,3625,0.8885934506447253
1.8624299096363714e-05,0.2,cold,4100,4100,1.0,0,1.140096755047376
1.8624299096363714e-05,0.3,BaryCDI,300,4050,13.5,3750,0.8863925204072705
1.8624299096363714e-05,0.3,FFD,175,4050,23.142857142857142,3875,0.888023760235477
1.8624299096363714e-05,0.3,Linear,725,4050,5.586206896551724,3325,0.888768142189188
1.8624299096363714e-05,0.3,cold,4050,4050,1.0,0,1.1361538612632216
1.8624299096363714e-05,0.4,BaryCDI,300,3950,13.166666666666666,3650,0.8876178376941818
1.8624299096363714e-05,0.4,FFD,200,3950,19.75,3750,0.8865364187411688
1.8624299096363714e-05,0.4,Linear,825,3950,4.787878787878788,3125,0.8870332245923603
1.8624299096363714e-05,0.4,cold,3950,3950,1.0,0,1.1336746533965592
1.8624299096363714e-05,0.5,BaryCDI,300,3800,12.666666666666666,3500,0.8856468065564441
1.8624299096363714e-05,0.5,FFD,200,3800,19.0,3600,0.8862714198621103
1.8624299096363714e-05,0.5,Linear,775,3800,4.903225806451613,3025,0.8856319809827392
1.8624299096363714e-05,0.5,cold,3800,3800,1.0,0,1.1289352217149293
1.8624299096363714e-05,0.6,BaryCDI,300,3700,12.333333333333334,3400,0.8842028594586503
1.8624299096363714e-05,0.6,FFD,200,3700,18.5,3500,0.886777171577124
1.8624299096363714e-05,0.6,Linear,725,3700,5.103448275862069,2975,0.8869842382261462
1.8624299096363714e-05,0.6,cold,3700,3700,1.0,0,1.1248504271576751
1.8624299096363714e-05,0.7,BaryCDI,250,3650,14.6,3400,0.8843524318163086
1.8624299096363714e-05,0.7,FFD,175,3650,20.857142857142858,3475,0.8864962122067302
1.8624299096363714e-05,0.7,Linear,600,3650,6.083333333333333,3050,0.8862126238492071
1.8624299096363714e-05,0.7,cold,3650,3650,1.0,0,1.1208863688164017
1.8624299096363714e-05,0.8,BaryCDI,200,3675,18.375,3475,0.8840693290087838
1.8624299096363714e-05,0.8,FFD,175,3675,21.0,3500,0.8860442658993638
