tol,t,variant,steps_to_tol,baseline_steps,speedup,steps_saved,per_step_ms
2.2041307602194138e-05,0.1,BaryCDI,50,3990,79.8,3940,0.8934298421385293
2.2041307602194138e-05,0.1,FFD,60,3990,66.5,3930,0.8929443147093572
2.2041307602194138e-05,0.1,Linear,25,3990,159.6,3965,0.8924753054288207
2.2041307602194138e-05,0.1,cold,3990,3990,1.0,0,1.1649273516980998
2.2041307602194138e-05,0.2,BaryCDI,125,3940,31.52,3815,0.8957393858845564
2.2041307602194138e-05,0.2,FFD,90,3940,43.77777777777778,3850,0.8937932629190988
2.2041307602194138e-05,0.2,Linear,300,3940,13.133333333333333,3640,0.8943747689921108
2.2041307602194138e-05,0.2,cold,3940,3940,1.0,0,1.1447014248823129
2.2041307602194138e-05,0.3,BaryCDI,180,3830,21.27777777777778,3650,0.8895579842212692
2.2041307602194138e-05,0.3,FFD,130,3830,29.46153846153846,3700,0.8911622442012646
2.2041307602194138e-05,0.3,Linear,565,3830,6.778761061946903,3265,0.8878287412212785
2.2041307602194138e-05,0.3,cold,3830,3830,1.0,0,1.1463235469443103
2.2041307602194138e-05,0.4,BaryCDI,205,3700,18.048780487804876,3495,0.8867196907285112
2.2041307602194138e-05,0.4,FFD,140,3700,26.428571428571427,3560,0.8917146773613733
2.2041307602194138e-05,0.4,Linear,605,3700,6.115702479338843,3095,0.8914071933345948
2.2041307602194138e-05,0.4,cold,3700,3700,1.0,0,1.1475942285256973
2.2041307602194138e-05,0.5,BaryCDI,210,3545,16.88095238095238,3335,0.8901626429441865
2.2041307602194138e-05,0.5,FFD,160,3545,22.15625,3385,0.8933370255581541
2.2041307602194138e-05,0.5,Linear,585,3545,6.05982905982906,2960,0.8920246599353192
2.2041307602194138e-05,0.5,cold,3545,3545,1.0,0,1.147097592089421
2.2041307602194138e-05,0.6,BaryCDI,200,3460,17.3,3260,0.8871387981017766
2.2041307602194138e-05,0.6,FFD,160,3460,21.625,3300,0.88984437715373
2.2041307602194138e-05,0.6,Linear,545,3460,6.348623853211009,2915,0.8925978372844733
2.2041307602194138e-05,0.6,cold,3460,3460,1.0,0,1.1272488395294218
2.2041307602194138e-05,0.7,BaryCDI,170,3500,20.58823529411765,3330,0.8862151377866058
2.2041307602194138e-05,0.7,FFD,150,3500,23.333333333333332,3350,0.8966419972530028
2.2041307602194138e-05,0.7,Linear,445,3500,7.865168539325842,3055,0.8909830633474856
2.2041307602194138e-05,0.7,cold,3500,3500,1.0,0,1.1264903407518556
2.2041307602194138e-05,0.8,BaryCDI,140,3480,24.857142857142858,3340,0.8840403940357099
2.2041307602194138e-05,0.8,FFD,120,3480,29.0,3360,0.8905387050721766
2.2041307602194138e-05,0.8,Linear,115,3480,30.26086956521739,3365,0.8892710053119885
2.2041307602194138e-05,0.8,cold,3480,3480,1.0,0,1.1204106090033423
2.2041307602194138e-05,0.9,BaryCDI,55,3385,61.54545454545455,3330,0.885205021879836
2.2041307602194138e-05,0.9,FFD,55,3385,61.54545454545455,3330,0.8895035396047564
2.2041307602194138e-05,0.9,Linear,5,3385,677.0,3380,0.8894620540618265
2.2041307602194138e-05,0.9,cold,3385,3385,1.0,0,1.1255893805120514
2.151556115726782e-05,0.1,BaryCDI,55,4065,73.9090909090909,4010,0.8934298421385293
2.151556115726782e-05,0.1,FFD,60,4065,67.75,4005,0.8929443147093572
2.151556115726782e-05,0.1,Linear,30,4065,135.5,4035,0.8924753054288207
2.151556115726782e-05,0.1,cold,4065,4065,1.0,0,1.1649273516980998
2.151556115726782e-05,0.2,BaryCDI,135,3950,29.25925925925926,3815,0.8957393858845564
2.151556115726782e-05,0.2,FFD,95,3950,41.578947368421055,3855,0.8937932629190988
2.151556115726782e-05,0.2,Linear,325,3950,12.153846153846153,3625,0.8943747689921108
2.151556115726782e-05,0.2,cold,3950,3950,1.0,0,1.1447014248823129
2.151556115726782e-05,0.3,BaryCDI,195,3865,19.82051282051282,3670,0.8895579842212692
2.151556115726782e-05,0.3,FFD,135,3865,28.62962962962963,3730,0.8911622442012646
2.151556115726782e-05,0.3,Linear,575,3865,6.721739130434782,3290,0.8878287412212785
2.151556115726782e-05,0.3,cold,3865,3865,1.0,0,1.1463235469443103
2.151556115726782e-05,0.4,BaryCDI,215,3780,17.58139534883721,3565,0.8867196907285112
2.151556115726782e-05,0.4,FFD,155,3780,24.387096774193548,3625,0.8917146773613733
2.151556115726782e-05,0.4,Linear,670,3780,5.641791044776119,3110,0.8914071933345948
2.151556115726782e-05,0.4,cold,3780,3780,1.0,0,1.1475942285256973
2.151556115726782e-05,0.5,BaryCDI,220,3575,16.25,3355,0.8901626429441865
2.151556115726782e-05,0.5,FFD,165,3575,21.666666666666668,3410,0.8933370255581541
2.151556115726782e-05,0.5,Linear,600,3575,5.958333333333333,2975,0.8920246599353192
2.151556115726782e-05,0.5,cold,3575,3575,1.0,0,1.147097592089421
2.151556115726782e-05,0.6,BaryCDI,210,3510,16.714285714285715,3300,0.8871387981017766
2.151556115726782e-05,0.6,FFD,160,3510,21.9375,3350,0.88984437715373
2.151556115726782e-05,0.6,Linear,575,3510,6.104347826086957,2935,0.8925978372844733
2.151556115726782e-05,0.6,cold,3510,3510,1.0,0,1.1272488395294218
2.151556115726782e-05,0.7,BaryCDI,175,3520,20.114285714285714,3345,0.8862151377866058
2.151556115726782e-05,0.7,FFD,155,3520,22.70967741935484,3365,0.8966419972530028
2.151556115726782e-05,0.7,Linear,455,3520,7.736263736263736,3065,0.8909830633474856
2.151556115726782e-05,0.7,cold,3520,3520,1.0,0,1.1264903407518556
2.151556115726782e-05,0.8,BaryCDI,150,3515,23.433333333333334,3365,0.8840403940357099
