t,mach,variant,repeat,dt,n_steps_total,tol,steps_to_tol,speedup,per_step_ms,time_to_tol_s,wall_time_s,rel_min,cd,cl,deltaS,init_repair_count,init_rho_min,init_p_min,tag
0.1,2.05,BaryCDI,0,0.0003709979937411845,10782,2.9911252568126656e-05,50,66.0,0.8894742209622555,0.04447371104811278,9.590311050415039,9.414879059477244e-06,,,,,,,ws_t0.10_BaryCDI
0.1,2.05,FFD,0,0.0003709979937411845,10782,2.9911252568126656e-05,50,66.0,0.8897029984264908,0.04448514992132454,9.592777729034424,8.958561011240818e-06,,,,,,,ws_t0.10_FFD
0.1,2.05,Linear,0,0.0003709979937411845,10782,2.9911252568126656e-05,25,132.0,0.889752309633261,0.022243807740831525,9.59330940246582,9.240806321031414e-06,,,,,,,ws_t0.10_Linear
0.1,2.05,cold,0,0.0003709979937411845,10782,2.9911252568126656e-05,3300,1.0,1.1462991698910234,3.782787260640377,12.359397649765015,9.526659596303944e-06,,,,,,,ws_t0.10_cold
0.2,2.1,BaryCDI,0,0.0003654708561953157,10945,2.9911252568126656e-05,75,43.0,0.8901369304839962,0.06676026978629972,9.742548704147339,9.770604265213478e-06,,,,,,,ws_t0.20_BaryCDI
0.2,2.1,FFD,0,0.0003654708561953157,10945,2.9911252568126656e-05,75,43.0,0.8890807438027428,0.06668105578520571,9.73098874092102,1.0598334483802319e-05,,,,,,,ws_t0.20_FFD
0.2,2.1,Linear,0,0.0003654708561953157,10945,2.9911252568126656e-05,75,43.0,0.8885934506447253,0.06664450879835439,9.725655317306519,9.306335414294153e-06,,,,,,,ws_t0.20_Linear
0.2,2.1,cold,0,0.0003654708561953157,10945,2.9911252568126656e-05,3225,1.0,1.140096755047376,3.6768120350277873,12.47835898399353,9.970417522708885e-06,,,,,,,ws_t0.20_cold
0.3,2.15,BaryCDI,0,0.0003601067583076656,11108,2.9911252568126656e-05,100,31.75,0.8863925204072705,0.08863925204072705,9.84604811668396,9.387905265612062e-06,,,,,,,ws_t0.30_BaryCDI
0.3,2.15,FFD,0,0.0003601067583076656,11108,2.9911252568126656e-05,75,42.333333333333336,0.888023760235477,0.06660178201766079,9.864167928695679,9.298809345636982e-06,,,,,,,ws_t0.30_FFD
0.3,2.15,Linear,0,0.0003601067583076656,11108,2.9911252568126656e-05,175,18.142857142857142,0.888768142189188,0.1555344248831079,9.8724365234375,9.000994396046735e-06,,,,,,,ws_t0.30_Linear
0.3,2.15,cold,0,0.0003601067583076656,11108,2.9911252568126656e-05,3175,1.0,1.1361538612632216,3.6072885095107283,12.620397090911865,9.299740668211598e-06,,,,,,,ws_t0.30_cold
0.4,2.2,BaryCDI,0,0.00035489851143211126,11271,2.9911252568126656e-05,100,31.5,0.8876178376941818,0.08876178376941818,10.004340648651123,9.233982382284012e-06,,,,,,,ws_t0.40_BaryCDI
0.4,2.2,FFD,0,0.00035489851143211126,11271,2.9911252568126656e-05,75,42.0,0.8865364187411688,0.06649023140558766,9.992151975631714,8.831598279357422e-06,,,,,,,ws_t0.40_FFD
0.4,2.2,Linear,0,0.00035489851143211126,11271,2.9911252568126656e-05,275,11.454545454545455,0.8870332245923603,0.2439341367628991,9.997751474380493,8.595423423685133e-06,,,,,,,ws_t0.40_Linear
0.4,2.2,cold,0,0.00035489851143211126,11271,2.9911252568126656e-05,3150,1.0,1.1336746533965592,3.5710751581991613,12.777647018432617,8.724928193259984e-06,,,,,,,ws_t0.40_cold
0.5,2.25,BaryCDI,0,0.00034983950899913907,11434,2.9911252568126656e-05,125,24.6,0.8856468065564441,0.11070585081955552,10.126485586166382,6.0757533901778515e-06,,,,,,,ws_t0.50_BaryCDI
0.5,2.25,FFD,0,0.00034983950899913907,11434,2.9911252568126656e-05,100,30.75,0.8862714198621103,0.08862714198621104,10.13362741470337,6.236597528186394e-06,,,,,,,ws_t0.50_FFD
0.5,2.25,Linear,0,0.00034983950899913907,11434,2.9911252568126656e-05,300,10.25,0.8856319809827392,0.26568959429482175,10.12631607055664,6.661421139142476e-06,,,,,,,ws_t0.50_Linear
0.5,2.25,cold,0,0.00034983950899913907,11434,2.9911252568126656e-05,3075,1.0,1.1289352217149293,3.471475806773408,12.908245325088501,6.302233487076592e-06,,,,,,,ws_t0.50_cold
0.6,2.3,BaryCDI,0,0.00034492340637370944,11597,2.9911252568126656e-05,100,30.75,0.8842028594586503,0.08842028594586503,10.254100561141968,7.51161724110716e-06,,,,,,,ws_t0.60_BaryCDI
0.6,2.3,FFD,0,0.00034492340637370944,11597,2.9911252568126656e-05,75,41.0,0.886777171577124,0.0665082878682843,10.283954858779907,7.562833616248099e-06,,,,,,,ws_t0.60_FFD
0.6,2.3,Linear,0,0.00034492340637370944,11597,2.9911252568126656e-05,225,13.666666666666666,0.8869842382261462,0.1995714536008829,10.286356210708618,6.689230758638587e-06,,,,,,,ws_t0.60_Linear
0.6,2.3,cold,0,0.00034492340637370944,11597,2.9911252568126656e-05,3075,1.0,1.1248504271576751,3.458915063509851,13.044890403747559,7.868189641158096e-06,,,,,,,ws_t0.60_cold
0.7,2.35,BaryCDI,0,0.00034014409175142646,11760,2.9911252568126656e-05,100,30.5,0.8843524318163086,0.08843524318163086,10.39998459815979,5.472900738823228e-06,,,,,,,ws_t0.70_BaryCDI
0.7,2.35,FFD,0,0.00034014409175142646,11760,2.9911252568126656e-05,75,40.666666666666664,0.8864962122067302,0.06648721591550476,10.425195455551147,5.521389084606199e-06,,,,,,,ws_t0.70_FFD
0.7,2.35,Linear,0,0.00034014409175142646,11760,2.9911252568126656e-05,100,30.5,0.8862126238492071,0.08862126238492071,10.421860456466675,5.426436928246403e-06,,,,,,,ws_t0.70_Linear
0.7,2.35,cold,0,0.00034014409175142646,11760,2.9911252568126656e-05,3050,1.0,1.1208863688164017,3.4187034248900248,13.181623697280884,5.646342287946027e-06,,,,,,,ws_t0.70_cold
0.8,2.4,BaryCDI,0,0.00033549609361216426,11923,2.9911252568126656e-05,75,40.666666666666664,0.8840693290087838,0.06630519967565879,10.540758609771729,7.876598829170689e-06,,,,,,,ws_t0.80_BaryCDI
0.8,2.4,FFD,0,0.00033549609361216426,11923,2.9911252568126656e-05,75,40.666666666666664,0.8860442658993638,0.06645331994245228,10.564305782318115,8.011767931748182e-06,,,,,,,ws_t0.80_FFD
0.8,2.4,Linear,0,0.00033549609361216426,11923,2.9911252568126656e-05,50,61.0,0.8842466781975828,0.044212333909879144,10.54287314414978,7.859954166633543e-06,,,,,,,ws_t0.80_Linear
0.8,2.4,cold,0,0.00033549609361216426,11923,2.9911252568126656e-05,3050,1.0,1.118582566592514,3.4116768281071677,13.336859941482544,7.822903171472717e-06,,,,,,,ws_t0.80_cold
0.9,2.45,BaryCDI,0,0.0003309739986434579,12086,2.9911252568126656e-05,50,60.0,0.8824415284238389,0.044122076421191946,10.665188312530518,5.618501290882705e-06,,,,,,,ws_t0.90_BaryCDI
0.9,2.45,FFD,0,0.0003309739986434579,12086,2.9911252568126656e-05,50,60.0,0.8856123416565437,0.044280617082827184,10.703510761260986,5.4835672926856205e-06,,,,,,,ws_t0.90_FFD
0.9,2.45,Linear,0,0.0003309739986434579,12086,2.9911252568126656e-05,25,120.0,0.8844619710260366,0.022111549275650916,10.689607381820679,5.386711109167663e-06,,,,,,,ws_t0.90_Linear
0.9,2.45,cold,0,0.0003309739986434579,12086,2.9911252568126656e-05,3000,1.0,1.115713907791332,3.3471417233739964,13.48451828956604,5.798822257929714e-06,,,,,,,ws_t0.90_cold
